iter	RMSE
0	6921.921749
1	6469.494032
2	6054.861188
3	5693.74888
4	5382.397698
5	5115.506731
6	4870.545215
7	4664.790318
8	4488.666719
9	4227.651536
10	4020.689163
11	3813.611264
12	3642.196334
13	3483.731583
14	3320.828203
15	3186.021325
16	3059.270041
17	2972.714436
18	2879.446126
19	2820.048479
20	2749.178577
21	2689.256741
22	2638.780836
23	2594.112933
24	2554.772251
25	2513.184204
26	2484.324145
27	2456.090673
28	2428.953455
29	2407.34787
30	2389.777553
31	2370.702225
32	2351.741939
33	2331.475435
34	2315.639123
35	2298.489062
36	2285.796747
37	2269.053199
38	2256.703175
39	2246.937407
40	2234.919576
41	2224.709153
42	2215.364844
43	2206.945304
44	2201.088229
45	2193.645717
46	2189.017685
47	2181.008408
48	2173.793929
49	2170.443014
50	2162.628805
51	2157.698833
52	2152.265517
53	2151.341798
54	2145.269586
55	2140.889781
56	2136.892029
57	2134.979326
58	2131.136789
59	2128.032928
60	2124.054165
61	2118.893468
62	2111.794517
63	2109.587748
64	2105.827129
65	2102.01789
66	2099.314807
67	2094.582907
68	2091.77438
69	2090.070992
70	2089.192339
71	2088.168174
72	2086.342773
73	2081.703961
74	2080.507275
75	2078.011271
76	2076.245385
77	2070.297596
78	2066.19123
79	2064.751795
80	2061.888112
81	2059.6306
82	2057.100013
83	2054.40653
84	2049.701869
85	2045.525744
86	2043.768351
87	2039.371519
88	2037.681268
89	2032.935225
90	2031.100346
91	2028.964008
92	2025.636589
93	2021.522626
94	2019.954829
95	2018.923192
96	2015.189252
97	2014.023702
98	2011.927798
99	2007.950199
