iter	Passed	Remaining
0	2	290
1	8	435
2	13	448
3	18	455
4	23	451
5	28	443
6	32	428
7	37	428
8	41	415
9	44	399
10	47	385
11	52	381
12	56	374
13	58	361
14	61	350
15	65	342
16	68	333
17	71	327
18	74	319
19	77	311
20	81	304
21	83	297
22	87	294
23	90	287
24	93	281
25	97	276
26	99	270
27	104	268
28	108	265
29	111	261
30	114	255
31	119	253
32	122	247
33	124	242
34	129	240
35	132	235
36	136	231
37	138	226
38	143	224
39	146	220
40	150	217
41	153	212
42	156	207
43	159	203
44	162	199
45	166	194
46	169	190
47	172	186
48	175	182
49	178	178
50	182	175
51	185	171
52	188	166
53	190	162
54	193	158
55	198	156
56	205	154
57	210	152
58	214	148
59	219	146
60	227	145
61	231	142
62	235	138
63	238	134
64	241	130
65	245	126
66	248	122
67	250	118
68	254	114
69	257	110
70	261	106
71	263	102
72	266	98
73	270	94
74	272	90
75	276	87
76	279	83
77	282	79
78	285	75
79	288	72
80	293	68
81	298	65
82	301	61
83	304	57
84	308	54
85	311	50
86	314	46
87	317	43
88	321	39
89	325	36
90	328	32
91	330	28
92	334	25
93	337	21
94	341	17
95	343	14
96	346	10
97	350	7
98	353	3
99	357	0
